epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1088.07,1.61936,1.17397,1.16646,0.90881,0.74896,0.80726,0.47895,1.34517,0.81432,0.98666,0.0668403,0.000166632,0.000166632
2,2134.09,1.5228,1.00918,1.13829,0.94645,0.76857,0.84509,0.50372,1.298,0.68085,0.97102,0.0336736,0.000333278,0.000333278
3,3170.34,1.46509,0.93523,1.10754,0.94476,0.80017,0.88022,0.53461,1.21921,0.6405,0.94988,0.000506856,0.000499843,0.000499843
4,4201.98,1.41198,0.87004,1.08139,0.94282,0.81383,0.88581,0.56082,1.15636,0.57622,0.92845,0.000499725,0.000499725,0.000499725
5,5229.71,1.36979,0.82444,1.06422,0.95802,0.85755,0.90846,0.57372,1.12312,0.54167,0.91727,0.000499512,0.000499512,0.000499512
6,6261.92,1.33043,0.78031,1.04879,0.95431,0.84629,0.9126,0.58804,1.12225,0.52257,0.92011,0.000499237,0.000499237,0.000499237
7,7294.29,1.31097,0.76052,1.04173,0.95723,0.85909,0.92004,0.59873,1.09155,0.50292,0.91547,0.000498902,0.000498902,0.000498902
8,8333.68,1.2822,0.7236,1.02412,0.96418,0.85042,0.91631,0.6064,1.08206,0.48338,0.90928,0.000498505,0.000498505,0.000498505
9,9370.4,1.25108,0.70001,1.01876,0.95652,0.86849,0.9236,0.6174,1.06228,0.46765,0.90846,0.000498048,0.000498048,0.000498048
10,10405,1.23582,0.68196,1.01208,0.97104,0.85912,0.92064,0.61949,1.0592,0.4583,0.90336,0.000497531,0.000497531,0.000497531
11,11437.6,1.22658,0.66085,1.00666,0.97497,0.86472,0.92453,0.62738,1.03684,0.45443,0.9046,0.000496953,0.000496953,0.000496953
12,12470,1.20952,0.65655,1.00442,0.97398,0.8719,0.93297,0.63612,1.02857,0.43794,0.90258,0.000496315,0.000496315,0.000496315
13,13503.9,1.19697,0.63374,0.99526,0.97214,0.86849,0.93115,0.64435,1.0245,0.42877,0.89843,0.000495616,0.000495616,0.000495616
14,14535.6,1.18883,0.6278,0.99152,0.96641,0.87447,0.93416,0.64359,1.02695,0.42862,0.89792,0.000494858,0.000494858,0.000494858
15,15567.8,1.17565,0.61887,0.98843,0.97268,0.8817,0.94223,0.65298,1.01071,0.41779,0.89537,0.000494039,0.000494039,0.000494039
16,16602.2,1.16481,0.60345,0.98434,0.96362,0.88301,0.94056,0.6536,1.00324,0.41696,0.89419,0.000493162,0.000493162,0.000493162
17,17623.9,1.1586,0.59675,0.98293,0.95756,0.88386,0.9408,0.65788,1.00635,0.41177,0.89447,0.000492224,0.000492224,0.000492224
18,18637.9,1.15049,0.58928,0.97959,0.95146,0.88724,0.9402,0.66291,1.00225,0.40514,0.89455,0.000491228,0.000491228,0.000491228
19,19649.3,1.13809,0.57851,0.97834,0.96378,0.88614,0.94002,0.66251,1.00259,0.40315,0.89518,0.000490173,0.000490173,0.000490173
20,20660.5,1.12579,0.56641,0.97216,0.96299,0.88471,0.94102,0.66652,0.99916,0.39943,0.89457,0.000489059,0.000489059,0.000489059
21,21675.1,1.11981,0.56007,0.96597,0.95863,0.88984,0.94221,0.66894,0.99475,0.39725,0.89371,0.000487886,0.000487886,0.000487886
22,22691.4,1.10769,0.55601,0.96726,0.96041,0.89071,0.94212,0.67103,0.98964,0.39676,0.89128,0.000486656,0.000486656,0.000486656
23,23707.5,1.11017,0.55042,0.96294,0.96035,0.8924,0.94311,0.67241,0.9837,0.39481,0.89012,0.000485368,0.000485368,0.000485368
24,24724.6,1.09969,0.54873,0.95892,0.96672,0.89302,0.94404,0.67376,0.98292,0.39403,0.89038,0.000484022,0.000484022,0.000484022
25,25757.5,1.09501,0.54121,0.95932,0.96771,0.89589,0.94514,0.67468,0.98042,0.39228,0.8886,0.00048262,0.00048262,0.00048262
26,26792.5,1.08305,0.53108,0.9556,0.96954,0.89692,0.94564,0.67725,0.97791,0.3898,0.8876,0.00048116,0.00048116,0.00048116
27,27825.6,1.08171,0.52433,0.95638,0.97131,0.89632,0.94542,0.67721,0.98157,0.3891,0.89099,0.000479644,0.000479644,0.000479644
28,28857.5,1.08183,0.52461,0.9536,0.97038,0.89526,0.94655,0.67989,0.97846,0.38943,0.88846,0.000478072,0.000478072,0.000478072
29,29893.8,1.06662,0.51827,0.94945,0.97048,0.89582,0.94641,0.68107,0.97624,0.38712,0.88703,0.000476445,0.000476445,0.000476445
30,30925.4,1.06674,0.51684,0.95103,0.97007,0.89667,0.94649,0.6827,0.97574,0.38532,0.88662,0.000474762,0.000474762,0.000474762
31,31956.1,1.05388,0.50906,0.94647,0.97131,0.89632,0.94713,0.68434,0.97247,0.38442,0.88629,0.000473024,0.000473024,0.000473024
32,32990.2,1.05547,0.50578,0.94768,0.97131,0.89627,0.94724,0.686,0.97222,0.38305,0.88614,0.000471232,0.000471232,0.000471232
33,34022.7,1.04975,0.50258,0.94526,0.97135,0.89582,0.94859,0.68695,0.97079,0.38237,0.88561,0.000469386,0.000469386,0.000469386
34,35054.9,1.04755,0.4995,0.947,0.97217,0.89582,0.94882,0.68833,0.96993,0.38197,0.88559,0.000467486,0.000467486,0.000467486
35,36090.1,1.03844,0.49366,0.94131,0.97147,0.89582,0.94959,0.69044,0.96804,0.38202,0.88541,0.000465534,0.000465534,0.000465534
36,37127.4,1.03539,0.4915,0.93976,0.97256,0.89667,0.95125,0.69128,0.96662,0.38188,0.88491,0.000463528,0.000463528,0.000463528
37,38162.6,1.02761,0.48896,0.93993,0.97044,0.89703,0.95256,0.69165,0.96406,0.38189,0.88425,0.000461471,0.000461471,0.000461471
38,39201.8,1.02373,0.48794,0.93638,0.97049,0.89865,0.95261,0.69258,0.96361,0.38094,0.88384,0.000459362,0.000459362,0.000459362
39,40233.8,1.01988,0.4847,0.93625,0.96994,0.90009,0.95388,0.69511,0.96312,0.37992,0.88375,0.000457202,0.000457202,0.000457202
40,41267.8,1.01985,0.48136,0.93448,0.9725,0.90009,0.95467,0.6961,0.96232,0.37953,0.88328,0.000454992,0.000454992,0.000454992
41,42313.7,1.00628,0.47519,0.93049,0.97276,0.90179,0.95534,0.69721,0.96221,0.37864,0.88317,0.000452732,0.000452732,0.000452732
42,43357.5,1.00339,0.47472,0.9291,0.97416,0.90153,0.95553,0.69832,0.96073,0.37877,0.88279,0.000450422,0.000450422,0.000450422
